# d-spacing, counts, errors
1.762500000000007816e+01,1.090000000000000000e+02,1.044030650891055068e+01
1.767500000000008242e+01,9.400000000000000000e+01,9.695359714832658682e+00
1.772500000000007958e+01,1.080000000000000000e+02,1.039230484541326405e+01
1.777500000000008384e+01,9.100000000000000000e+01,9.539392014169456147e+00
1.782500000000008100e+01,7.700000000000000000e+01,8.774964387392122589e+00
1.787500000000008527e+01,8.300000000000000000e+01,9.110433579144299188e+00
1.792500000000008242e+01,8.400000000000000000e+01,9.165151389911679658e+00
1.797500000000008669e+01,6.100000000000000000e+01,7.810249675906653977e+00
1.802500000000008384e+01,7.500000000000000000e+01,8.660254037844387298e+00
1.807500000000008811e+01,7.200000000000000000e+01,8.485281374238569541e+00
1.812500000000008527e+01,7.600000000000000000e+01,8.717797887081347952e+00
1.817500000000008953e+01,6.300000000000000000e+01,7.937253933193772149e+00
1.822500000000008669e+01,6.400000000000000000e+01,8.000000000000000000e+00
1.827500000000009095e+01,5.000000000000000000e+01,7.071067811865475505e+00
1.832500000000008811e+01,6.000000000000000000e+01,7.745966692414834043e+00
1.837500000000009237e+01,6.100000000000000000e+01,7.810249675906653977e+00
1.842500000000008953e+01,6.900000000000000000e+01,8.306623862918074863e+00
1.847500000000009379e+01,5.100000000000000000e+01,7.141428428542850426e+00
1.852500000000009095e+01,6.000000000000000000e+01,7.745966692414834043e+00
1.857500000000009521e+01,5.400000000000000000e+01,7.348469228349534532e+00
1.862500000000009237e+01,5.700000000000000000e+01,7.549834435270749822e+00
1.867500000000009663e+01,5.600000000000000000e+01,7.483314773547882659e+00
1.872500000000009379e+01,3.200000000000000000e+01,5.656854249492380582e+00
1.877500000000009805e+01,4.200000000000000000e+01,6.480740698407860378e+00
1.882500000000009521e+01,4.500000000000000000e+01,6.708203932499369415e+00
1.887500000000009948e+01,3.200000000000000000e+01,5.656854249492380582e+00
1.892500000000009663e+01,3.400000000000000000e+01,5.830951894845300743e+00
1.897500000000010090e+01,3.000000000000000000e+01,5.477225575051661188e+00
1.902500000000009805e+01,2.300000000000000000e+01,4.795831523312719114e+00
1.907500000000010232e+01,3.800000000000000000e+01,6.164414002968976014e+00
1.912500000000009948e+01,2.700000000000000000e+01,5.196152422706632024e+00
1.917500000000010374e+01,2.500000000000000000e+01,5.000000000000000000e+00
1.922500000000010090e+01,3.500000000000000000e+01,5.916079783099616130e+00
1.927500000000010516e+01,2.200000000000000000e+01,4.690415759823429731e+00
1.932500000000010232e+01,2.800000000000000000e+01,5.291502622129181432e+00
